VickyLovelyG|8:09 PM - 14 Nov 2015|New interim president of University of Missouri system vows to address racism #DemnDebate #DemDebate #ccot
Conservativeind|8:09 PM - 14 Nov 2015|Hillary Clinton waged her OWN #WarOnWomen #DemDebate #NHpolitics #FITN #tcot pic.twitter.com/yEsjrCZtoa
glamtamara|8:09 PM - 14 Nov 2015|#BERNIE won the night !! #DemDebate #DebateWithBernie #BernieSanders #BERNIE2016 RECORDS MATTER. DECISIONS HAVE CONSEQUENCES. #FeelTheBern !
janniaragon|8:09 PM - 14 Nov 2015|That was quick! @HillaryClinton #DemDebate pic.twitter.com/FVjdhTowsx
andrewhealan|8:09 PM - 14 Nov 2015|what are you gonna do? Vote for trump? #DemDebate
TrendTopicsEsp|8:09 PM - 14 Nov 2015|Worldwide  1 #DemDebate 2 #UFC193 3 #MacriConMirtha 4 #OMundoSeriaMelhorSe 5 #Fla120anos 6 Baylor 7 Stanford pic.twitter.com/HSCVxA6aTm
onejimharris|8:09 PM - 14 Nov 2015|Both dumb Bitches RT @CitizenSnap: All the libs talking trash about how #Hillary was a Republican love #ElizabethWarren tho.  #DemDebate
Liberalqueentx|8:09 PM - 14 Nov 2015|#DebateWithBernie #DemDebate I think the camera guy is stoned #FeelTheBern
josephflores2|8:09 PM - 14 Nov 2015|Hugely disappointed there wasn't an abortion question considering SCOTUS just took up HB2. #DemDebate
tierralinda05|8:09 PM - 14 Nov 2015|@deray just an observation, your tweets are significantly more critical of #bernie & #OMalley than @HillaryClinton. Fr fr #DemDebate
Devin_Yat|8:09 PM - 14 Nov 2015|#DemDebate #DemnDebate Sky Tower among public buildings to light up for Paris #teaparty
EternallyLost84|8:09 PM - 14 Nov 2015|Soo I felt like @MartinOMalley was trying to seduce America tonite w/his eye squints & low voice tones at times during the #DemDebate #js
maxplaining|8:09 PM - 14 Nov 2015|I actually didn't watch the #DemDebate, thus making me tonight's big winner.
masonfidino|8:09 PM - 14 Nov 2015|Another $15 to @BernieSanders great job! #DebateWithBernie #DemDebate
MeganMarieInSD|8:09 PM - 14 Nov 2015|We're doomed. #DemDebate
StatsInTheWild|8:09 PM - 14 Nov 2015|#dataviz #DemDebate pic.twitter.com/Xlve1EekXt
Cee_elle_gee|8:09 PM - 14 Nov 2015|Bernie Sanders wants to raise the minimum wage to a living wage!! #demdebate
KellyAnnBraun|8:09 PM - 14 Nov 2015|#DemDebate EDUCATION NEEDS ADDRESSED x3 @BadassTeachersA asking @HillaryClinton @BernieSanders @MartinOMalley #TBATs pic.twitter.com/X6yvhLPt1Y
AmelCreech|8:09 PM - 14 Nov 2015|#DemDebate #DemnDebate Northport Police Issues Statement Regarding Paris Attacks #gop
BadAss4life67|8:09 PM - 14 Nov 2015|#DemDebate #DemocraticDebate boy did I waste a Saturday night..could of watched something more important like collage football or grass grow
meowlickss|8:09 PM - 14 Nov 2015|I think the moderators weren't very good at asking questions and didn't pick very good questions #DemDebate
TheEastVillager|8:09 PM - 14 Nov 2015|Dunno what the outcome of the #DemDebate will be, but @HillaryClinton got hammered.
lionhardt77|8:09 PM - 14 Nov 2015|What is Bernie's motive for not wanting to hear about Hill's emails? Something not right about that....#DemDebate #DemForum
MarkFolsom1|8:09 PM - 14 Nov 2015|Best #MSM managed debate so far.  Good job #CBS.  #DemDebate
Jaime_Booo|8:09 PM - 14 Nov 2015|#DemnDebate This Week/Next Week: Comrade Cuomo #DemDebate #tcot
thecaitlinlent|8:09 PM - 14 Nov 2015|THE REVOLUTION IS COMING. THE HAVE-NOTS ARE GONNA WIN THIS. #DemDebate #thisisahamiltonreference
RN_Diver|8:09 PM - 14 Nov 2015|@idrawrobots Just keep that cute little head in the sand then.  Denial will keep you nice and comfy. #DemDebate
ProfHagle|8:09 PM - 14 Nov 2015|One weakness for O'Malley was he didn't emphasize the generational change aspect enough. #demdebate
momindtown|8:09 PM - 14 Nov 2015|Why did I sit thru the #DemDebate? Now my stomach & head hurt.  Smh
EvilArchEnemy|8:09 PM - 14 Nov 2015|Hail Hydra. #DemDebate pic.twitter.com/4aHIF1TnoC
rich7combs|8:09 PM - 14 Nov 2015|Question I've always had re: minimum wage. If it's increased to, say, $15, will other wages increase accordingly? #DemDebate
RussoDeclan|8:09 PM - 14 Nov 2015|Hochman: Pinkel decision bigger than football #DemnDebate #DemDebate #RT
jkglasbrenner|8:09 PM - 14 Nov 2015|Kudos should go to @jdickerson for being well prepared and following up on responses to get clarity #DemDebate
jeremiahlyell|8:09 PM - 14 Nov 2015|@BernieSanders needs to tell America that Syrian war was caused by drought, because it was. #DemDebate
untwin34|8:09 PM - 14 Nov 2015|Once again the winner of the #DemDebate is @FoxNews for showing how to put on a real debate. What a crock of Bullshit this debate was.
car_rems|8:09 PM - 14 Nov 2015|#DemDebate #DemnDebate Trump takes aim at rival Carson #tcot
jolrodge|8:09 PM - 14 Nov 2015|@SenSanders is pushing the Dem's further left! #DemDebate
MrJDumont|8:09 PM - 14 Nov 2015|Awesome job by @nancycordes at the #DemDebate. Such a thoughtful debate compared to others. Nice to focus on the issues.
qmmz342|8:09 PM - 14 Nov 2015|#DemDebate #DemnDebate FIRST-PERSON: Mizzou, a key juncture for empathy #pjnet
